	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana
Number of genes	45397	22251	26459	25529	28815	31149	18126	24685	19560	32588	24133	34460	58337	35261	35602	28296	31392	30736	60814	40126	28134	25877	23133	20642	24075	27505	25598	28236	21517	27074	25826	36209	29817	27560	24490	40581	26410	26942	33878	24073	25705	27393
Number of genes in orthogroups	36189	20933	23823	24254	27859	28962	17524	23950	18927	30297	22701	33109	47619	33907	32184	27613	29782	29379	56231	36810	26336	24897	22321	19844	23469	26285	24935	26393	21121	26258	24702	30852	28921	26214	23081	38805	26069	26283	33033	23097	24268	26560
Number of unassigned genes	9208	1318	2636	1275	956	2187	602	735	633	2291	1432	1351	10718	1354	3418	683	1610	1357	4583	3316	1798	980	812	798	606	1220	663	1843	396	816	1124	5357	896	1346	1409	1776	341	659	845	976	1437	833
Percentage of genes in orthogroups	79.7	94.1	90.0	95.0	96.7	93.0	96.7	97.0	96.8	93.0	94.1	96.1	81.6	96.2	90.4	97.6	94.9	95.6	92.5	91.7	93.6	96.2	96.5	96.1	97.5	95.6	97.4	93.5	98.2	97.0	95.6	85.2	97.0	95.1	94.2	95.6	98.7	97.6	97.5	95.9	94.4	97.0
Percentage of unassigned genes	20.3	5.9	10.0	5.0	3.3	7.0	3.3	3.0	3.2	7.0	5.9	3.9	18.4	3.8	9.6	2.4	5.1	4.4	7.5	8.3	6.4	3.8	3.5	3.9	2.5	4.4	2.6	6.5	1.8	3.0	4.4	14.8	3.0	4.9	5.8	4.4	1.3	2.4	2.5	4.1	5.6	3.0
Number of orthogroups containing species	14270	12358	12088	13695	13193	13330	12361	12806	11948	12693	12718	13048	13834	13376	13087	12863	12997	12157	14615	13625	13300	12687	12753	12849	12415	13997	12923	14227	12854	12955	12993	13854	14441	14357	12456	13675	13698	13386	12485	12567	12565	12653
Percentage of orthogroups containing species	49.6	43.0	42.0	47.6	45.9	46.4	43.0	44.5	41.5	44.1	44.2	45.4	48.1	46.5	45.5	44.7	45.2	42.3	50.8	47.4	46.3	44.1	44.3	44.7	43.2	48.7	44.9	49.5	44.7	45.1	45.2	48.2	50.2	49.9	43.3	47.6	47.6	46.6	43.4	43.7	43.7	44.0
Number of species-specific orthogroups	82	20	51	13	15	32	5	16	8	79	23	38	305	23	70	5	28	19	122	80	16	16	11	6	19	8	6	14	7	7	13	39	7	3	25	30	6	12	13	16	30	10
Number of genes in species-specific orthogroups	499	79	381	128	53	148	25	66	40	498	81	232	2127	105	337	45	114	60	696	405	94	67	53	16	93	47	31	74	20	29	103	222	36	10	116	115	26	104	71	48	149	57
Percentage of genes in species-specific orthogroups	1.1	0.4	1.4	0.5	0.2	0.5	0.1	0.3	0.2	1.5	0.3	0.7	3.6	0.3	0.9	0.2	0.4	0.2	1.1	1.0	0.3	0.3	0.2	0.1	0.4	0.2	0.1	0.3	0.1	0.1	0.4	0.6	0.1	0.0	0.5	0.3	0.1	0.4	0.2	0.2	0.6	0.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	14486	16398	16668	15061	15563	15426	16395	15950	16808	16063	16038	15708	14922	15380	15669	15893	15759	16599	14141	15131	15456	16069	16003	15907	16341	14759	15833	14529	15902	15801	15763	14902	14315	14399	16300	15081	15058	15370	16271	16189	16191	16103
'1	8458	8121	7747	8946	7456	8059	9250	7956	8467	6781	8775	6238	6286	5442	7357	6580	7467	5895	2196	6185	7653	6647	8878	9307	7150	8849	8003	9212	9089	7528	8662	7253	8638	9069	9182	5477	8441	8322	5131	6803	8974	6538
'2	2908	2594	2643	2774	3137	2839	2159	2773	2150	2935	2368	3016	3312	4220	2913	3586	2949	2703	6262	3468	3214	3511	2423	2288	3137	2928	2687	2858	2372	3104	2592	3412	3172	3016	2061	3621	2943	2896	3138	4201	2249	3221
'3	1162	908	921	941	1174	1118	555	1045	704	1293	758	1610	1567	1535	1244	1203	1157	1349	1429	1544	1135	1299	668	677	1052	1024	1060	1024	691	1082	837	1390	1257	1126	550	1723	1119	1074	1757	723	616	1353
'4	516	346	309	410	595	506	186	470	268	656	285	836	843	931	567	670	508	766	2025	911	574	647	302	247	508	488	476	429	276	541	295	733	549	502	213	973	514	470	924	377	277	654
'5	298	136	163	224	307	252	87	186	113	287	155	474	501	435	297	278	252	509	571	467	243	220	126	119	192	215	263	216	143	238	161	396	290	215	119	620	225	227	549	153	124	357
'6	194	74	59	94	141	142	34	119	72	199	93	284	314	261	192	177	148	307	741	339	130	118	87	57	135	137	109	131	77	124	94	194	160	124	71	384	135	103	325	96	56	184
'7	109	44	52	71	80	75	25	52	51	138	59	178	161	134	86	91	119	181	302	192	77	72	66	31	64	82	93	79	39	71	70	119	84	71	58	234	65	71	202	53	42	101
'8	108	32	35	66	70	65	20	46	30	83	43	102	133	85	73	62	63	120	315	119	54	42	39	25	40	59	45	53	45	63	44	79	45	57	28	151	43	43	122	33	33	64
'9	85	22	22	32	48	49	13	29	23	50	18	56	100	67	53	43	46	91	144	89	35	23	23	17	24	42	37	44	22	37	33	59	44	36	27	102	45	32	85	26	28	46
'10	51	12	21	17	32	25	9	20	15	38	21	41	102	47	50	38	42	61	124	51	42	23	20	12	16	29	31	32	13	23	22	49	23	25	18	75	33	22	67	21	23	26
11-15	134	32	44	64	77	82	15	56	31	99	61	120	185	108	92	60	105	119	272	144	68	44	53	35	52	65	54	74	45	63	79	92	88	65	46	167	68	49	114	40	51	69
16-20	72	18	11	27	23	38	5	16	10	48	25	23	96	42	47	24	46	25	76	35	35	17	16	15	26	33	23	24	13	33	36	29	38	22	22	68	25	22	29	16	26	14
21-50	136	15	36	28	41	55	3	29	12	66	50	48	170	47	80	39	74	27	111	52	33	19	42	17	12	39	33	42	23	35	54	31	41	25	35	57	37	34	31	21	37	21
51-100	27	3	17	1	7	16	0	8	2	15	6	15	34	18	24	11	15	4	26	14	7	5	8	2	7	7	7	9	6	8	11	14	9	2	12	15	3	15	5	2	14	4
101-150	6	1	3	0	1	4	0	1	0	2	0	3	14	3	6	1	3	0	6	8	0	0	1	0	0	0	1	0	0	4	3	3	2	2	8	5	1	5	4	1	10	1
151-200	4	0	3	0	2	3	0	0	0	2	1	2	6	1	3	0	1	0	5	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	4	2	1	1	0	1	1	0
201-500	2	0	2	0	2	2	0	0	0	1	0	2	7	0	3	0	2	0	9	5	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	2	0	3	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	50.4	57.0	58.0	52.4	54.1	53.6	57.0	55.5	58.5	55.9	55.8	54.6	51.9	53.5	54.5	55.3	54.8	57.7	49.2	52.6	53.7	55.9	55.7	55.3	56.8	51.3	55.1	50.5	55.3	54.9	54.8	51.8	49.8	50.1	56.7	52.4	52.4	53.4	56.6	56.3	56.3	56.0
'1	29.4	28.2	26.9	31.1	25.9	28.0	32.2	27.7	29.4	23.6	30.5	21.7	21.9	18.9	25.6	22.9	26.0	20.5	7.6	21.5	26.6	23.1	30.9	32.4	24.9	30.8	27.8	32.0	31.6	26.2	30.1	25.2	30.0	31.5	31.9	19.0	29.4	28.9	17.8	23.7	31.2	22.7
'2	10.1	9.0	9.2	9.6	10.9	9.9	7.5	9.6	7.5	10.2	8.2	10.5	11.5	14.7	10.1	12.5	10.3	9.4	21.8	12.1	11.2	12.2	8.4	8.0	10.9	10.2	9.3	9.9	8.2	10.8	9.0	11.9	11.0	10.5	7.2	12.6	10.2	10.1	10.9	14.6	7.8	11.2
'3	4.0	3.2	3.2	3.3	4.1	3.9	1.9	3.6	2.4	4.5	2.6	5.6	5.4	5.3	4.3	4.2	4.0	4.7	5.0	5.4	3.9	4.5	2.3	2.4	3.7	3.6	3.7	3.6	2.4	3.8	2.9	4.8	4.4	3.9	1.9	6.0	3.9	3.7	6.1	2.5	2.1	4.7
'4	1.8	1.2	1.1	1.4	2.1	1.8	0.6	1.6	0.9	2.3	1.0	2.9	2.9	3.2	2.0	2.3	1.8	2.7	7.0	3.2	2.0	2.2	1.1	0.9	1.8	1.7	1.7	1.5	1.0	1.9	1.0	2.5	1.9	1.7	0.7	3.4	1.8	1.6	3.2	1.3	1.0	2.3
'5	1.0	0.5	0.6	0.8	1.1	0.9	0.3	0.6	0.4	1.0	0.5	1.6	1.7	1.5	1.0	1.0	0.9	1.8	2.0	1.6	0.8	0.8	0.4	0.4	0.7	0.7	0.9	0.8	0.5	0.8	0.6	1.4	1.0	0.7	0.4	2.2	0.8	0.8	1.9	0.5	0.4	1.2
'6	0.7	0.3	0.2	0.3	0.5	0.5	0.1	0.4	0.3	0.7	0.3	1.0	1.1	0.9	0.7	0.6	0.5	1.1	2.6	1.2	0.5	0.4	0.3	0.2	0.5	0.5	0.4	0.5	0.3	0.4	0.3	0.7	0.6	0.4	0.2	1.3	0.5	0.4	1.1	0.3	0.2	0.6
'7	0.4	0.2	0.2	0.2	0.3	0.3	0.1	0.2	0.2	0.5	0.2	0.6	0.6	0.5	0.3	0.3	0.4	0.6	1.1	0.7	0.3	0.3	0.2	0.1	0.2	0.3	0.3	0.3	0.1	0.2	0.2	0.4	0.3	0.2	0.2	0.8	0.2	0.2	0.7	0.2	0.1	0.4
'8	0.4	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.1	0.3	0.1	0.4	0.5	0.3	0.3	0.2	0.2	0.4	1.1	0.4	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.1	0.5	0.1	0.1	0.4	0.1	0.1	0.2
'9	0.3	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.1	0.2	0.1	0.2	0.3	0.2	0.2	0.1	0.2	0.3	0.5	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.4	0.2	0.1	0.3	0.1	0.1	0.2
